优先级,前置依赖编号,备注,实施阶段,所属模块,状态,需求名称,需求编号,需求说明,验收标准
P0,"S03,E05",,B 回放闭环,数据与作业,待评审,持久作业与租约恢复,S05,实现退避、重试次数、过期租约回收,进程被终止后作业可恢复；永久失败有诊断且不无限重试
P0,S02,,B 回放闭环,数据与作业,待评审,中文与混合文本候选检索,S06,项目过滤后检索分词字段及代码标识符,覆盖中文短词、英文仓库名和混合输入；记录漏召回样例
P0,S01,,B 回放闭环,数据与作业,待评审,统一时间和身份映射,S07,区分发生/接收时间，保留时区及身份命名空间,迟到消息不机械覆盖新计划；同名跨项目不自动合并
P0,S05,,C 有限自动维护,数据与作业,待评审,背压和磁盘额度,S08,限制回补、队列、单事件大小与磁盘增长,超额暂停并显示原因；恢复后可继续而不丢游标
P0,"D02,E02",,A 接入验证,飞书接入,待评审,飞书授权和范围选择,F01,呈现可读取对话范围并保存授权引用,只读取用户选择的范围；权限不足给出具体原因
P0,"F01,S03,S04",,B 回放闭环,飞书接入,待评审,飞书历史分页导入,F02,限定时间窗分页读取并续传,中断后续传不漏页；重复页不重复建项
P0,"F02,S05",,B 回放闭环,飞书接入,待评审,飞书增量与补采,F03,按可用能力轮询或接收事件并补齐间隔,断网恢复后可补采；最后成功时间准确
P0,"F03,S01",,B 回放闭环,飞书接入,待评审,飞书编辑和撤回处理,F04,将可见修订和删除转换为标准事件,受影响证据标记失效；不可见撤回能力明确披露
P0,"D03,E04",,B 回放闭环,AI 会话接入,待评审,本地目录授权,L01,用户选择会话目录并限定只读范围,越界路径和符号链接逃逸被拒绝
P0,"L01,S01",,B 回放闭环,AI 会话接入,待评审,会话解析与角色保留,L02,解析消息、工具结果与会话定位,assistant 建议与 user 承诺可区分；保留原始定位
P0,"L02,S03,S04",,B 回放闭环,AI 会话接入,待评审,文件增量和轮转恢复,L03,处理追加、截断、轮转与格式变化,文件轮转不重复或漏掉已完整消息；未知格式可诊断
P0,"D04,E02",,A 接入验证,交付接入,待评审,GitHub 最小权限授权,G01,选择仓库并验证授权方案,只读取选定仓库；桌面不内置共享 client secret
P0,"G01,S01,S03",,B 回放闭环,交付接入,待评审,PR 交付记录采集,G02,采集 PR 创建、目标仓库、分支与链接,能够区分创建、合并、关闭；错误仓库不成为交付证明
P0,"G02,D04",,B 回放闭环,交付接入,待评审,测试与部署证据区分,G03,按当前约定采集检查或部署结果,失败记录不当成功；PR 合并不默认等于部署
P0,"G02,S05",,B 回放闭环,交付接入,待评审,轮询限流和恢复,G04,实现缓存、退避和游标恢复,限流不高频重试；恢复不重复处理；展示延迟
P0,"D06,S01",,B 回放闭环,理解与关联,待评审,承诺提取,A01,提取用户明确承担的事项及原文引用,建议和假设不直接收录；每个候选有有效引用
P0,"A01,S07",,B 回放闭环,理解与关联,待评审,截止时间解析,A02,解析明确时间与相对时间并保存依据,按消息发生时间解释；无法消歧时留空
P0,A01,,B 回放闭环,理解与关联,待评审,进展和变更提取,A03,区分尝试、失败、反馈、改期及取消,同一场景的六类输入可回放；不扩大承诺范围
P0,"A03,S06,S07",,B 回放闭环,理解与关联,待评审,跨源候选关联,A04,先过滤项目对象，再检索和判断,同名不同项目不误合并；明确关联延续原事项
P0,A04,,B 回放闭环,理解与关联,待评审,不确定关联处理,A05,保留候选与原因并允许确认,多候选不强制选中；确认后记录可复用映射
P0,"A03,S02",,B 回放闭环,理解与关联,待评审,结构化建议验证,A06,校验模型输出 Schema、引用和预期版本,不存在的 ID、超范围字段或非法修订拒绝提交
P0,"A06,S05",,B 回放闭环,理解与关联,待评审,模型失败与取消,A07,实现超时、解析失败及取消恢复,候选不静默丢失；超预算暂停；取消不提交迟到结果
P0,"D04,S02,A03",,B 回放闭环,条件与状态,待评审,条件版本管理,V01,从承诺建立条件并记录后续变更,改约定生成新版本；旧证据不直接满足新条件
P0,"V01,A04,G02",,B 回放闭环,条件与状态,待评审,证据关系核验,V02,对当前条件记录支持、反对、相关和缺失,PR 只满足 PR 条件；反馈需对应对象和链接证据
P0,"V01,A06",,B 回放闭环,条件与状态,待评审,业务状态转换,V03,实现待办、进行中、等待、完成和取消,部分交付不整项完成；长期无活动仅影响展示
P0,"V02,V03,H01,T01",,C 有限自动维护,条件与状态,待评审,低风险自动完成策略,V04,按场景与用户策略允许自动完成,条件充分、无有效冲突且无人工阻止才提交；可关闭策略
P0,"A06,V03,S04",,B 回放闭环,条件与状态,待评审,提交版本与幂等校验,V05,提交前检查事项、条件和人工版本,人工修改后旧 proposal 拒绝；重试不重复状态更新
P0,"V02,V05,F04",,C 有限自动维护,条件与状态,待评审,撤回证据后的重评估,V06,处理已完成事项的证据失效和冲突,自动结果有变更理由；人工完成不被缺证据推翻
P0,S02,,B 回放闭环,人工纠正,待评审,编辑和手动状态,H01,编辑标题、条件、截止及手动完成,修改立即可见；记录 actor 和范围；旧事件不覆盖有效选择
P0,"A01,H01",,B 回放闭环,人工纠正,待评审,忽略与恢复收录,H02,支持候选忽略及撤销忽略,重复回放不重复建议被忽略事项；恢复后可继续跟踪
P0,"H01,A04",,B 回放闭环,人工纠正,待评审,事项合并,H03,用户选择目标并合并条件和证据,保留旧 ID 映射；历史引用可解析；重复条件可识别
P0,"H01,V01",,B 回放闭环,人工纠正,待评审,事项拆分,H04,按条件和证据拆出独立事项,证据归属明确；原事项和新事项均保留拆分记录
P0,"H01,H03,H04",,B 回放闭环,人工纠正,待评审,撤销自动和人工操作,H05,记录 supersedes 并按操作范围撤销,撤销不覆盖之后无关编辑；冲突时说明范围
P0,"S02,E04","
2026-09-12 基建：基础事项空态、信源规划和运行状态页面可运行；尚无真实事项查询及状态/项目筛选。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。
2026-09-12：Kumo 界面与宽窄窗口交互预览已通过检查；仍使用虚构示例，真实采集/权限/状态时间线未接通，不能按业务需求验收完成。",B 回放闭环,产品界面,进行中,事项列表和筛选,U01,按业务状态、来源、项目和活跃度查看,候选、忽略、归档与完成语义清晰；空态不虚构数据
P0,"U01,V02","
2026-09-12：Kumo 界面与宽窄窗口交互预览已通过检查；仍使用虚构示例，真实采集/权限/状态时间线未接通，不能按业务需求验收完成。",B 回放闭环,产品界面,进行中,事项详情和时间线,U02,展示为何收录、进展、条件缺口及变更,所有自动变更可定位依据；失效来源清晰标识
P0,"F03,L03,G04","
2026-09-12：Kumo 界面与宽窄窗口交互预览已通过检查；仍使用虚构示例，真实采集/权限/状态时间线未接通，不能按业务需求验收完成。",B 回放闭环,产品界面,进行中,来源健康与权限页,U03,显示范围、最后成功时间、暂停和错误,断连及授权不足可区分；暂停后无新采集
P0,"U02,A06",,C 有限自动维护,产品界面,待评审,有引用的事项问答,U04,回答还差什么和当前待办,回答引用有效事项证据；覆盖不足明确说明
P0,"U01,U03,A01","
2026-09-12：Kumo 界面与宽窄窗口交互预览已通过检查；仍使用虚构示例，真实采集/权限/状态时间线未接通，不能按业务需求验收完成。",C 有限自动维护,产品界面,进行中,首次连接引导,U05,从场景选择到来源连接再到首个有用事项,无数据有原因与有限导入入口；不要求用户理解插件协议
P0,"V03,U02",,C 有限自动维护,提醒,待评审,提醒触发与静默默认,N01,仅对期限、阻塞或决策触发轻提醒,普通新增默认静默；触发依据可解释
P0,N01,,C 有限自动维护,提醒,待评审,冷却和稍后提醒,N02,实现关闭、静默、稍后和冷却,重复证据不连发；用户关闭后不再提醒
P0,"S05,N02",,C 有限自动维护,提醒,待评审,通知 outbox 恢复,N03,状态提交同步记录待投递通知,崩溃恢复可投递；应用内同 ID 唯一；说明 OS 重复窗口
P0,S01,,B 回放闭环,插件扩展,待评审,插件 manifest 契约,P01,定义 ID、版本、API 范围、Schema 和权限,合法样例通过；缺字段、不兼容版本被拒绝
P0,"P01,S03",,B 回放闭环,插件扩展,待评审,声明式来源运行时,P02,提供受控 HTTP 分页和文件模板,真实差异来源能输出同一事件协议；禁止 eval 和 shell
P0,"P02,E04",,B 回放闭环,插件扩展,待评审,插件权限代理,P03,限定域名、路径与凭据用途,跳转和符号链接越权被拒绝；不能读取其他来源凭据
P0,P03,,C 有限自动维护,插件扩展,待评审,安装与样例试运行,P04,校验、权限展示、样例运行、原子启用,试运行失败不采集；包路径穿越被拒绝
P0,"P04,S05",,C 有限自动维护,插件扩展,待评审,启停升级与回退,P05,独立管理运行状态及权限变化,权限扩大需重新授权；升级失败保留原版；停用停止读取
P0,"P05,T01",,D 扩展试用,插件扩展,待评审,第三方真实适配验收,P06,由未参与核心开发者接入分页 HTTP 源,不修改核心；验证修订、恢复和权限拒绝；记录耗时
P0,"E04,F01,G01",,B 回放闭环,数据控制,待评审,凭据保护,Q01,仅宿主持有系统保护的凭据引用,数据库、日志和 renderer 中不出现明文凭据
P0,"E02,Q01,D05",,C 有限自动维护,数据控制,待评审,加密存储探针,Q02,验证加密 SQLite、备份和钥匙恢复,目标安装包可读写恢复；未通过前不使用真实敏感样本
P0,"Q01,S05",,C 有限自动维护,数据控制,待评审,撤销授权和在途取消,Q03,停止新读取并阻止过时授权结果落库,撤权后队列与在途结果检查授权版本；说明已发送数据不可追回
P0,"S02,U02",,C 有限自动维护,数据控制,待评审,导出事项和证据,Q04,按用户选择范围导出可迁移数据,包含状态、条件、人工决定和有效引用；不导出凭据
P0,"Q04,S06,V06",,C 有限自动维护,数据控制,待评审,删除与派生清理,Q05,清理正文、摘要、索引、缓存与相关作业,删除后不能召回；证据失效；备份及 WAL 处理范围明确
P0,"D05,A07,Q03",,C 有限自动维护,数据控制,待评审,云推理范围和关闭,Q06,展示发送片段和供应商；允许关闭云推理,关闭后不新发请求；列表和手动操作可用
P0,D04,,B 回放闭环,质量与发布,待评审,建立时间前缀评测集,T01,标注约 30 条完整链路及反例,每次判断只看到当时信息；标注覆盖承诺到反馈
P0,"T01,A04,V02",,B 回放闭环,质量与发布,待评审,简单基线与质量报告,T02,对比单次提取和简单关联规则,分别报告误建、漏记、误关联、错误完成及自动覆盖
P0,"S05,V05,H05,Q05",,C 有限自动维护,质量与发布,待评审,关键故障集成验证,T03,验证重复、崩溃、乱序、解析失败及人工竞争,全部硬约束测试通过；失败样例可重现
P0,"E05,S08,A07",,C 有限自动维护,质量与发布,待评审,资源成本和可观测性,T04,测空闲、增量、回补负载并记录阶段耗时,形成 CPU、内存、磁盘、延迟、成本基线；日志无正文密钥
P0,"T02,T04",,D 扩展试用,质量与发布,待评审,冻结扩大试用门槛,T05,根据基线确定质量、资源和费用预算,负责人确认阈值；不能只报准确率不报覆盖
P0,"E02,Q02",,D 扩展试用,质量与发布,待评审,签名分发与迁移备份,T06,完成安装包签名和一致性迁移备份,升级可用；迁移失败停止写入且有恢复入口
P0,"T06,V04,P05",,D 扩展试用,质量与发布,待评审,回滚与策略止损,T07,规则、插件与应用分别处理回退,可关闭错误自动完成策略；恢复后人工变更仍有效
P0,"T03,T05,T07,P06",,D 扩展试用,质量与发布,待评审,真实使用净收益验证,T08,记录省时、纠错、无效提醒和弃用原因,报告总维护成本与原有方法对比；不以建项数量替代价值
P1,"U04,Q03",,P1 后续,后续能力,待评审,外部 Agent 上下文查询,X01,提供按授权范围的只读上下文入口,调用有记录、引用和范围限制；不开放全库
P1,U04,,P1 后续,后续能力,待评审,日报与反馈草稿,X02,基于事项记录生成回顾和反馈草稿,内容有依据；对外发送由用户完成
P1,"T02,T04",,P1 后续,后续能力,待评审,评估向量检索收益,X03,在文本召回不足时做同集比较,记录召回收益、资源和索引恢复成本后决定是否引入
P1,T04,,P1 后续,后续能力,待评审,评估原生交互模块,X04,测量快捷入口和浮窗关键响应链路,有瓶颈证据后选择 Swift 模块；不预设必须重写桌面壳
P0,,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,模型格式与 SDK 兼容性验证,PET01,验证官方 Cubism SDK for Web、目标 Electron/WebGL 与运行时模型版本，固定支持矩阵。,至少使用一份有合法使用权的模型完成离线加载和动画；不兼容 moc3 给出明确错误。
P0,PET01,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,Live2D 模型导入入口,PET02,选择含 model3.json 的模型目录；首版不接受 cmo3 工程文件。,可选择目录、发现模型入口、多模型时选择；取消不改变当前模型。
P0,PET02,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,模型资源清单与路径校验,PET03,校验 moc3、纹理、动作、物理和表情引用；资源限制在所选目录。,缺失文件显示清单；拒绝绝对/远程/越界引用与符号链接逃逸；限制文件和纹理大小。
P0,PET03,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,模型资源导入与管理,PET04,校验后原子复制到受控资源目录，登记模型 ID、校验和及导入状态。,中断不产生可选的半成品；重复导入有提示；切换、移除有明确结果，失败保留原模型。
P0,"E04, PET01",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,独立透明桌宠窗口,PET05,独立 BrowserWindow 与 renderer；不让桌宠故障影响主工作区。,透明无边框窗口可显示/隐藏，关闭主工作区后行为可控；权限隔离与主窗口一致。
P0,"PET04, PET05",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,Live2D 渲染与动作驱动,PET06,通过 Cubism 渲染真实模型，驱动待机、呼吸、眨眼及模型内表情动作。,连续运行、动作结束回待机；缺少可选动作时降级；切换释放 GPU 资源。
P0,PET05,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,拖动缩放与多屏定位,PET07,支持拖动、缩放、位置恢复与按需置顶。,重启恢复位置；移除显示器后回可见区域；缩放有限制，不遮住气泡和退出入口。
P0,"PET06, PET07",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,命中区域与鼠标穿透,PET08,角色和气泡可交互，透明区域不阻挡下方应用。,透明区域点击落到其他应用；角色可拖动；开启穿透后仍可通过主窗口关闭。
P0,PET06,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,说话气泡与动作联动,PET09,以文字气泡表达问候、轻提醒和陪伴话语；与表情动作联动。,气泡不超屏、支持长文换行/关闭；不夺焦点；多个消息排队不叠加。
P0,PET09,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,主动说话调度,PET10,持久化冷却与去重；可配置频率，预设话术可离线工作。,默认低频、建议 45–90 分钟随机间隔；每天上限 6 次；恢复唤醒不补发积压，测试时钟可验证。
P0,PET10,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,免打扰与关闭控制,PET11,主窗口提供开关、频率、静默时段和暂停；锁屏/全屏时抑制主动说话。,默认不自动播音；默认 22:00–09:00 静默；关闭后取消排队与定时器，设置重启保留。
P1,"PET09, A06, N01",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,P1 后续,桌宠,待评审,基于事项的可解释话语,PET12,仅使用用户允许的事项摘要和有效引用生成建议。,不因无进展催促；未知完成度不编造；引用打开对应事项，模型失败回预设话术。
P1,"PET09, PET11",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,P1 后续,桌宠,待评审,语音与口型联动,PET13,可选 TTS、音量、声线及口型参数联动，文字气泡仍可用。,用户开启后才播音；停止立即中断；缺少口型参数时只播语音，供应商失败可降级。
P0,"PET06, PET10",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,性能与故障恢复,PET14,闲置降帧、隐藏暂停、WebGL context lost 恢复、内存与能耗观测。,记录基准设备与模型规格；目标活动 30fps、闲置 15fps；运行 30 分钟无持续资源增长，崩溃不拖垮主窗口。
P0,PET01,2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,模型与 SDK 发布许可检查,PET15,区分用户导入资产、默认模型和 Cubism Core/Framework 许可。,提交发布前许可清单；无授权模型不进仓库；SDK 发布条件确认前不声称可以公开分发。
P0,"PET03, PET08, PET11, PET14, PET15",2026-09-12 新增；BUGU 不咕桌宠需求。尚未实现；优先级为桌宠模块内优先级，不替代原事项闭环。详见 docs/product/BUGU_桌宠需求与架构增补.md。,D 扩展试用,桌宠,待开发,桌宠集成验收与演示,PET16,覆盖导入、动画、气泡、静默、恢复、多屏和安全拒绝路径。,坏模型/越界路径/休眠唤醒/退出清理测试通过；可演示导入到主动气泡闭环；macOS 首验，Windows 待独立验证。
