需求名称,需求编号,所属模块,优先级,实施阶段,状态,需求来源,需求说明,验收标准,前置依赖编号,负责人,备注
GitHub 最小权限授权,G01,交付接入,P0,A 接入验证,待评审,R01,选择仓库并验证授权方案,只读取选定仓库；桌面不内置共享 client secret,"D04,E02",,
PR 交付记录采集,G02,交付接入,P0,B 回放闭环,待评审,R05,采集 PR 创建、目标仓库、分支与链接,能够区分创建、合并、关闭；错误仓库不成为交付证明,"G01,S01,S03",,
测试与部署证据区分,G03,交付接入,P0,B 回放闭环,待评审,R05,按当前约定采集检查或部署结果,失败记录不当成功；PR 合并不默认等于部署,"G02,D04",,
轮询限流和恢复,G04,交付接入,P0,B 回放闭环,待评审,R01,实现缓存、退避和游标恢复,限流不高频重试；恢复不重复处理；展示延迟,"G02,S05",,
承诺提取,A01,理解与关联,P0,B 回放闭环,待评审,R02,提取用户明确承担的事项及原文引用,建议和假设不直接收录；每个候选有有效引用,"D06,S01",,
截止时间解析,A02,理解与关联,P0,B 回放闭环,待评审,R02,解析明确时间与相对时间并保存依据,按消息发生时间解释；无法消歧时留空,"A01,S07",,
进展和变更提取,A03,理解与关联,P0,B 回放闭环,待评审,R04,区分尝试、失败、反馈、改期及取消,同一场景的六类输入可回放；不扩大承诺范围,A01,,
跨源候选关联,A04,理解与关联,P0,B 回放闭环,待评审,R03,先过滤项目对象，再检索和判断,同名不同项目不误合并；明确关联延续原事项,"A03,S06,S07",,
不确定关联处理,A05,理解与关联,P0,B 回放闭环,待评审,R03,保留候选与原因并允许确认,多候选不强制选中；确认后记录可复用映射,A04,,
结构化建议验证,A06,理解与关联,P0,B 回放闭环,待评审,R04,校验模型输出 Schema、引用和预期版本,不存在的 ID、超范围字段或非法修订拒绝提交,"A03,S02",,
模型失败与取消,A07,理解与关联,P0,B 回放闭环,待评审,R02,实现超时、解析失败及取消恢复,候选不静默丢失；超预算暂停；取消不提交迟到结果,"A06,S05",,
条件版本管理,V01,条件与状态,P0,B 回放闭环,待评审,R05,从承诺建立条件并记录后续变更,改约定生成新版本；旧证据不直接满足新条件,"D04,S02,A03",,
证据关系核验,V02,条件与状态,P0,B 回放闭环,待评审,R05,对当前条件记录支持、反对、相关和缺失,PR 只满足 PR 条件；反馈需对应对象和链接证据,"V01,A04,G02",,
业务状态转换,V03,条件与状态,P0,B 回放闭环,待评审,R04,实现待办、进行中、等待、完成和取消,部分交付不整项完成；长期无活动仅影响展示,"V01,A06",,
低风险自动完成策略,V04,条件与状态,P0,C 有限自动维护,待评审,R05,按场景与用户策略允许自动完成,条件充分、无有效冲突且无人工阻止才提交；可关闭策略,"V02,V03,H01,T01",,
提交版本与幂等校验,V05,条件与状态,P0,B 回放闭环,待评审,R06,提交前检查事项、条件和人工版本,人工修改后旧 proposal 拒绝；重试不重复状态更新,"A06,V03,S04",,
撤回证据后的重评估,V06,条件与状态,P0,C 有限自动维护,待评审,R04,处理已完成事项的证据失效和冲突,自动结果有变更理由；人工完成不被缺证据推翻,"V02,V05,F04",,
编辑和手动状态,H01,人工纠正,P0,B 回放闭环,待评审,R06,编辑标题、条件、截止及手动完成,修改立即可见；记录 actor 和范围；旧事件不覆盖有效选择,S02,,
忽略与恢复收录,H02,人工纠正,P0,B 回放闭环,待评审,R06,支持候选忽略及撤销忽略,重复回放不重复建议被忽略事项；恢复后可继续跟踪,"A01,H01",,
事项合并,H03,人工纠正,P0,B 回放闭环,待评审,R06,用户选择目标并合并条件和证据,保留旧 ID 映射；历史引用可解析；重复条件可识别,"H01,A04",,
事项拆分,H04,人工纠正,P0,B 回放闭环,待评审,R06,按条件和证据拆出独立事项,证据归属明确；原事项和新事项均保留拆分记录,"H01,V01",,
撤销自动和人工操作,H05,人工纠正,P0,B 回放闭环,待评审,R06,记录 supersedes 并按操作范围撤销,撤销不覆盖之后无关编辑；冲突时说明范围,"H01,H03,H04",,
事项列表和筛选,U01,产品界面,P0,B 回放闭环,待评审,R08,按业务状态、来源、项目和活跃度查看,候选、忽略、归档与完成语义清晰；空态不虚构数据,"S02,E04",,
事项详情和时间线,U02,产品界面,P0,B 回放闭环,待评审,R08,展示为何收录、进展、条件缺口及变更,所有自动变更可定位依据；失效来源清晰标识,"U01,V02",,
来源健康与权限页,U03,产品界面,P0,B 回放闭环,待评审,R01,显示范围、最后成功时间、暂停和错误,断连及授权不足可区分；暂停后无新采集,"F03,L03,G04",,
有引用的事项问答,U04,产品界面,P0,C 有限自动维护,待评审,R08,回答还差什么和当前待办,回答引用有效事项证据；覆盖不足明确说明,"U02,A06",,
首次连接引导,U05,产品界面,P0,C 有限自动维护,待评审,R02,从场景选择到来源连接再到首个有用事项,无数据有原因与有限导入入口；不要求用户理解插件协议,"U01,U03,A01",,
提醒触发与静默默认,N01,提醒,P0,C 有限自动维护,待评审,R07,仅对期限、阻塞或决策触发轻提醒,普通新增默认静默；触发依据可解释,"V03,U02",,
冷却和稍后提醒,N02,提醒,P0,C 有限自动维护,待评审,R07,实现关闭、静默、稍后和冷却,重复证据不连发；用户关闭后不再提醒,N01,,
通知 outbox 恢复,N03,提醒,P0,C 有限自动维护,待评审,R07,状态提交同步记录待投递通知,崩溃恢复可投递；应用内同 ID 唯一；说明 OS 重复窗口,"S05,N02",,
插件 manifest 契约,P01,插件扩展,P0,B 回放闭环,待评审,R09,定义 ID、版本、API 范围、Schema 和权限,合法样例通过；缺字段、不兼容版本被拒绝,S01,,
声明式来源运行时,P02,插件扩展,P0,B 回放闭环,待评审,R09,提供受控 HTTP 分页和文件模板,真实差异来源能输出同一事件协议；禁止 eval 和 shell,"P01,S03",,
插件权限代理,P03,插件扩展,P0,B 回放闭环,待评审,R09,限定域名、路径与凭据用途,跳转和符号链接越权被拒绝；不能读取其他来源凭据,"P02,E04",,
安装与样例试运行,P04,插件扩展,P0,C 有限自动维护,待评审,R09,校验、权限展示、样例运行、原子启用,试运行失败不采集；包路径穿越被拒绝,P03,,
启停升级与回退,P05,插件扩展,P0,C 有限自动维护,待评审,R09,独立管理运行状态及权限变化,权限扩大需重新授权；升级失败保留原版；停用停止读取,"P04,S05",,
第三方真实适配验收,P06,插件扩展,P0,D 扩展试用,待评审,R09,由未参与核心开发者接入分页 HTTP 源,不修改核心；验证修订、恢复和权限拒绝；记录耗时,"P05,T01",,
凭据保护,Q01,数据控制,P0,B 回放闭环,待评审,R10,仅宿主持有系统保护的凭据引用,数据库、日志和 renderer 中不出现明文凭据,"E04,F01,G01",,
加密存储探针,Q02,数据控制,P0,C 有限自动维护,待评审,R10,验证加密 SQLite、备份和钥匙恢复,目标安装包可读写恢复；未通过前不使用真实敏感样本,"E02,Q01,D05",,
撤销授权和在途取消,Q03,数据控制,P0,C 有限自动维护,待评审,R10,停止新读取并阻止过时授权结果落库,撤权后队列与在途结果检查授权版本；说明已发送数据不可追回,"Q01,S05",,
导出事项和证据,Q04,数据控制,P0,C 有限自动维护,待评审,R10,按用户选择范围导出可迁移数据,包含状态、条件、人工决定和有效引用；不导出凭据,"S02,U02",,
删除与派生清理,Q05,数据控制,P0,C 有限自动维护,待评审,R10,清理正文、摘要、索引、缓存与相关作业,删除后不能召回；证据失效；备份及 WAL 处理范围明确,"Q04,S06,V06",,
云推理范围和关闭,Q06,数据控制,P0,C 有限自动维护,待评审,R10,展示发送片段和供应商；允许关闭云推理,关闭后不新发请求；列表和手动操作可用,"D05,A07,Q03",,
建立时间前缀评测集,T01,质量与发布,P0,B 回放闭环,待评审,R02-R06,标注约 30 条完整链路及反例,每次判断只看到当时信息；标注覆盖承诺到反馈,D04,,
简单基线与质量报告,T02,质量与发布,P0,B 回放闭环,待评审,R02-R06,对比单次提取和简单关联规则,分别报告误建、漏记、误关联、错误完成及自动覆盖,"T01,A04,V02",,
关键故障集成验证,T03,质量与发布,P0,C 有限自动维护,待评审,技术方案,验证重复、崩溃、乱序、解析失败及人工竞争,全部硬约束测试通过；失败样例可重现,"S05,V05,H05,Q05",,
资源成本和可观测性,T04,质量与发布,P0,C 有限自动维护,待评审,技术方案,测空闲、增量、回补负载并记录阶段耗时,形成 CPU、内存、磁盘、延迟、成本基线；日志无正文密钥,"E05,S08,A07",,
冻结扩大试用门槛,T05,质量与发布,P0,D 扩展试用,待评审,技术方案,根据基线确定质量、资源和费用预算,负责人确认阈值；不能只报准确率不报覆盖,"T02,T04",,
签名分发与迁移备份,T06,质量与发布,P0,D 扩展试用,待评审,技术方案,完成安装包签名和一致性迁移备份,升级可用；迁移失败停止写入且有恢复入口,"E02,Q02",,
回滚与策略止损,T07,质量与发布,P0,D 扩展试用,待评审,技术方案,规则、插件与应用分别处理回退,可关闭错误自动完成策略；恢复后人工变更仍有效,"T06,V04,P05",,
真实使用净收益验证,T08,质量与发布,P0,D 扩展试用,待评审,R01-R10,记录省时、纠错、无效提醒和弃用原因,报告总维护成本与原有方法对比；不以建项数量替代价值,"T03,T05,T07,P06",,
外部 Agent 上下文查询,X01,后续能力,P1,P1 后续,待评审,R11,提供按授权范围的只读上下文入口,调用有记录、引用和范围限制；不开放全库,"U04,Q03",,
日报与反馈草稿,X02,后续能力,P1,P1 后续,待评审,R12,基于事项记录生成回顾和反馈草稿,内容有依据；对外发送由用户完成,U04,,
评估向量检索收益,X03,后续能力,P1,P1 后续,待评审,技术方案,在文本召回不足时做同集比较,记录召回收益、资源和索引恢复成本后决定是否引入,"T02,T04",,
评估原生交互模块,X04,后续能力,P1,P1 后续,待评审,技术方案,测量快捷入口和浮窗关键响应链路,有瓶颈证据后选择 Swift 模块；不预设必须重写桌面壳,T04,,
